id;username;listento;delay
129;CelAndroid;Teste8192;2212
131;CelAndroid;Teste8192;2306
135;CelAndroid;Teste8192;2310
137;CelAndroid;Teste8192;2216
140;CelAndroid;Teste8192;2183
146;CelAndroid;Teste8192;2041
148;CelAndroid;Teste8192;2092
149;CelAndroid;Teste8192;2166
152;CelAndroid;Teste8192;1985
155;CelAndroid;Teste8192;2030
159;CelAndroid;Teste8192;1845
161;CelAndroid;Teste8192;1880
164;CelAndroid;Teste8192;1876
167;CelAndroid;Teste8192;1881
171;CelAndroid;Teste8192;1890
173;CelAndroid;Teste8192;1862
177;CelAndroid;Teste8192;1797
181;CelAndroid;Teste8192;1769
184;CelAndroid;Teste8192;1878
186;CelAndroid;Teste8192;1932
189;CelAndroid;Teste8192;1875
193;CelAndroid;Teste8192;1938
195;CelAndroid;Teste8192;2004
197;CelAndroid;Teste8192;1985
200;CelAndroid;Teste8192;2003
203;CelAndroid;Teste8192;1704
208;CelAndroid;Teste8192;1443
210;CelAndroid;Teste8192;1448
214;CelAndroid;Teste8192;1199
216;CelAndroid;Teste8192;1168
218;CelAndroid;Teste8192;1159
222;CelAndroid;Teste8192;1156
226;CelAndroid;Teste8192;1017
228;CelAndroid;Teste8192;976
230;CelAndroid;Teste8192;956
233;CelAndroid;Teste8192;906
238;CelAndroid;Teste8192;917
239;CelAndroid;Teste8192;927
241;CelAndroid;Teste8192;955
246;CelAndroid;Teste8192;982
248;CelAndroid;Teste8192;952
253;CelAndroid;Teste8192;901
255;CelAndroid;Teste8192;970
266;MacBook;Teste8192;62588
268;CelLuca;Teste8192;833
269;CelLuca;Teste8192;712
271;MacBook;Teste8192;62546
277;CelLuca;Teste8192;603
291;CelLuca;Teste8192;444
295;CelLuca;Teste8192;366
296;MacBook;Teste8192;62752
300;CelLuca;Teste8192;633
302;MacBook;Teste8192;62747
350;MacBook;Teste8192;62803
354;CelLuca;Teste8192;651
356;MacBook;Teste8192;62910
377;MacBook;Teste8192;62886
378;MacBook;Teste8192;63014
416;CelLuca;Teste8192;4794
417;CelLuca;Teste8192;4647
419;CelLuca;Teste8192;4531
420;MacBook;Teste8192;62880
421;CelLuca;Teste8192;4399
422;CelLuca;Teste8192;4246
423;CelLuca;Teste8192;4093
424;CelLuca;Teste8192;3954
427;MacBook;Teste8192;62763
431;CelLuca;Teste8192;3553
432;MacBook;Teste8192;62746
433;CelLuca;Teste8192;3471
439;CelLuca;Teste8192;3355
440;MacBook;Teste8192;62919
442;CelLuca;Teste8192;3229
443;CelLuca;Teste8192;3105
444;CelLuca;Teste8192;2959
445;CelLuca;Teste8192;2875
500;CelLuca;Teste8192;676
508;CelLuca;Teste8192;732
510;CelLuca;Teste8192;581
513;CelLuca;Teste8192;504
515;MacBook;Teste8192;62900
516;CelLuca;Teste8192;474
525;CelLuca;Teste8192;583
267;CelAndroid;Teste8192;1046
270;CelAndroid;Teste8192;1139
272;CelAndroid;Teste8192;1213
339;CelAndroid;Teste8192;1419
347;CelAndroid;Teste8192;1185
351;CelAndroid;Teste8192;1251
418;CelAndroid;Teste8192;1484
429;CelAndroid;Teste8192;1163
430;CelAndroid;Teste8192;1316
441;CelAndroid;Teste8192;1449
509;CelAndroid;Teste8192;1316
514;CelAndroid;Teste8192;1362
526;CelAndroid;Teste8192;1272
273;MacBook;Teste8192;62666
275;MacBook;Teste8192;62771
349;CelLuca;Teste8192;718
352;MacBook;Teste8192;62904
358;CelLuca;Teste8192;448
359;MacBook;Teste8192;63017
361;CelLuca;Teste8192;368
362;MacBook;Teste8192;62772
374;MacBook;Teste8192;62827
380;MacBook;Teste8192;63113
398;MacBook;Teste8192;62902
400;MacBook;Teste8192;62821
402;MacBook;Teste8192;62894
404;MacBook;Teste8192;62720
411;MacBook;Teste8192;62917
412;MacBook;Teste8192;62997
448;CelLuca;Teste8192;2419
499;MacBook;Teste8192;62880
502;MacBook;Teste8192;62984
503;CelLuca;Teste8192;559
505;CelLuca;Teste8192;436
506;MacBook;Teste8192;62688
511;MacBook;Teste8192;62765
512;MacBook;Teste8192;62850
518;CelLuca;Teste8192;345
519;MacBook;Teste8192;62975
521;MacBook;Teste8192;63069
522;CelLuca;Teste8192;288
524;MacBook;Teste8192;62769
